Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
071514CP17,2014-07-15,SOUTH BEACH,Right,52,MPN/100 ml
062414GR08,2014-06-24,AMERICAN TURNERS,Center,4,MPN/100 ml
082712KB06,2012-08-27,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4,MPN/100 ml
090211GR04,2011-09-02,SCHUYLER HILL CIVIC ASSOCIATION,Left,4,MPN/100 ml
052405TM16,2005-05-24,WHITE CROSS FISHING CLUB,Left,40,MPN/100 ml
060210KB15,2010-06-02,MORRIS YACHT AND BEACH CLUB,Right,4,MPN/100 ml
042710KB11,2010-04-27,WEST FORDHAM STREET ASSOCIATION,Center,44,MPN/100 ml
083011IM09,2011-08-30,AMERICAN TURNERS,Right,110,MPN/100 ml
042313KB08,2013-04-23,ORCHARD BEACH,Center,4,MPN/100 ml
080707BH09,2007-08-07,MANHEM BEACH CLUB,Right,16,MPN/100 ml
060605EL11,2005-06-06,GERRITSEN/KIDDIE BEACH,Center,12,MPN/100 ml
071415GR20,2015-07-14,LOCUST POINT YACHT CLUB,Center,24,MPN/100 ml
053006IM17,2006-05-30,DANISH AMERICAN BEACH CLUB,Center,100,MPN/100 ml
062705SI02,2005-06-27,WOLFE'S POND PARK,Center,4,MPN/100 ml
072908BH04,2008-07-29,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,12,MPN/100 ml
090311GR01,2011-09-03,SOUTH BEACH,Left,80,MPN/100 ml
071309KB14,2009-07-13,CONEY ISLAND WEST 28TH - WEST 37TH,Center,4,MPN/100 ml
071105LH05,2005-07-11,DANISH AMERICAN BEACH CLUB,Center,8,MPN/100 ml
053006IM23,2006-05-30,SCHUYLER HILL CIVIC ASSOCIATION,Center,16,MPN/100 ml
051815CP17,2015-05-18,SOUTH BEACH,Right,4,MPN/100 ml
082911GR12,2011-08-29,BREEZY POINT - 219TH STREET,Left,120,MPN/100 ml
071805SI03,2005-07-18,WOLFE'S POND PARK,Right,48,MPN/100 ml
052112KB03,2012-05-21,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,56,MPN/100 ml
053017MA09,2017-05-30,KINGSBOROUGH COMMUNITY COLLEGE,Right,4,MPN/100 ml
060313KB08,2013-06-03,CEDAR GROVE,Center,4,MPN/100 ml
051313GR19,2013-05-13,SEAGATE BEACH - 38TH STREET,Right,4,MPN/100 ml
071405MR14,2005-07-12,SEAGATE BEACH - 42ND STREET,Center,4,MPN/100 ml
061306GR08,2006-06-13,KINGSBOROUGH COMMUNITY COLLEGE,Center,24,MPN/100 ml
072111GR02,2011-07-21,SEAGATE BEACH - 42ND STREET,Center,20,MPN/100 ml
082515SM03,2015-08-25,WHITE CROSS FISHING CLUB,Right,16,MPN/100 ml
072406JR06,2006-07-24,ORCHARD BEACH,Right,4,MPN/100 ml
090412KB06,2012-09-04,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,20,MPN/100 ml
061809GR06,2009-06-18,SEAGATE BEACH - 38TH STREET,Right,4,MPN/100 ml
062111KB15,2011-06-21,MORRIS YACHT AND BEACH CLUB,Right,12,MPN/100 ml
062910KB03,2010-06-29,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,36,MPN/100 ml
042616GR09,2016-04-26,AMERICAN TURNERS,Right,420,MPN/100 ml
051208GR12,2008-05-12,SEAGATE BEACH - 38TH STREET,Center,4,MPN/100 ml
073107BH05,2007-07-31,ORCHARD BEACH,Center,4,MPN/100 ml
071706LC04,2006-07-17,SI YMCA OF GREATER NEW YORK,Left,8,MPN/100 ml
080306ZK10,2006-08-03,MANHEM BEACH CLUB,Left,4,MPN/100 ml
060605EL15,2005-06-06,SEAGATE BEACH - 42ND STREET,Right,4,MPN/100 ml
051412KB02,2012-05-14,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,120,MPN/100 ml
061114CP14,2014-06-11,SOUTH BEACH,Center,92,MPN/100 ml
090413KB12,2013-09-04,WEST FORDHAM STREET ASSOCIATION,Right,4,MPN/100 ml
090413KB06,2013-09-04,BEECHHURST PROPERTY OWNERS ASSOCIATION,Right,8,MPN/100 ml
042312GR05,2012-04-23,MANHATTAN BEACH,Center,24,MPN/100 ml
090208GR08,2008-09-02,KINGSBOROUGH COMMUNITY COLLEGE,Center,12,MPN/100 ml
060914GR14,2014-06-09,SEAGATE BEACH - 38TH STREET,Left,4,MPN/100 ml
072715GR10,2015-07-27,CONEY ISLAND BR. 15TH - 6TH,Center,8,MPN/100 ml
060517MA01,2017-06-05,GERRITSEN/KIDDIE BEACH,Left,52,MPN/100 ml
061213KB04,2013-06-12,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,160,MPN/100 ml
061109KB12,2009-06-11,ORCHARD BEACH,Center,8,MPN/100 ml
082012GR04,2012-08-20,WHITE CROSS FISHING CLUB,Left,64,MPN/100 ml
071006JR04,2006-07-10,CONEY ISLAND BR. 15TH - 6TH,Center,28,MPN/100 ml
052212GR08,2012-05-22,KINGSBOROUGH COMMUNITY COLLEGE,Center,12,MPN/100 ml
090412GR06,2012-09-04,WHITE CROSS FISHING CLUB,Right,20,MPN/100 ml
081312GR03,2012-08-13,GERRITSEN/KIDDIE BEACH,Right,4,MPN/100 ml
091509GR03,2009-09-15,GERRITSEN/KIDDIE BEACH,Right,4,MPN/100 ml
082812KB02,2012-08-28,SI YMCA OF GREATER NEW YORK,Center,48,MPN/100 ml
072916JL02,2016-07-29,CEDAR GROVE,Center,8,MPN/100 ml
072715GR06,2015-07-27,MANHATTAN BEACH,Right,16,MPN/100 ml
051314KB03,2014-05-13,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,24,MPN/100 ml
050108GR03,2008-05-01,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,24,MPN/100 ml
